rank,player,shots,actual_goals,xg_sum,sb_xg_sum,xg_per_shot,actual_conversion,goals_above_xg,goals_above_xg_se
479,Hugo Ekitike,24,3,3.2423269171879863,2.895192508,0.13509695488283277,0.125,-0.24232691718798627,1.6746039603265146
480,Gonzalo Escalante,34,3,3.244036591157183,3.301888771,0.09541284091638774,0.08823529411764706,-0.24403659115718312,1.7130422773411527
481,Manvir Singh,47,6,6.255247509886074,6.2161859636,0.13309037255076753,0.1276595744680851,-0.2552475098860736,2.328676510036994
482,Marcos Alonso Mendoza,56,3,3.26114021364015,2.9842651808,0.05823464667214554,0.05357142857142857,-0.26114021364015017,1.7524921870155343
483,Sergino Dest,20,2,2.262533780834013,2.0188893716,0.11312668904170065,0.1,-0.2625337808340129,1.41653832470684
484,Francesco Lodi,25,1,1.2653673945334292,1.147902641,0.05061469578133717,0.04,-0.26536739453342917,1.0960479956678433
485,Sébastien Aymar Bassong Nguena,20,1,1.2670328260316284,1.846760696,0.06335164130158141,0.05,-0.26703282603162837,1.089387083143335
486,Craig Gardner,49,3,3.2819875521790065,3.1091895689999998,0.06697933779957156,0.061224489795918366,-0.2819875521790065,1.7499034828434452
487,Juan Antonio Rodríguez Villamuela,24,1,1.2845109277782913,1.379730571,0.053521288657428806,0.041666666666666664,-0.28451092777829134,1.1026160925857411
488,Mario Suárez Mata,20,1,1.2855459019133797,1.148883943,0.06427729509566898,0.05,-0.2855459019133797,1.0967745842319039
489,Mario Gaspar Pérez Martínez,42,2,2.287098492137009,2.0024674141,0.05445472600326212,0.047619047619047616,-0.2870984921370092,1.4705628753661688
490,Ermir Lenjani,21,1,1.288980716226505,1.391125735,0.06138003410602405,0.047619047619047616,-0.288980716226505,1.0999377418301979
491,Joan Verdú Fernández,26,2,2.3001302890056357,1.9183579984999999,0.08846654957713983,0.07692307692307693,-0.30013028900563565,1.4479798682162115
492,Eduardo César Daude Gaspar,25,2,2.301471272460699,1.2981507646000001,0.09205885089842797,0.08,-0.30147127246069916,1.445545043138478
493,Robin Quaison,21,1,1.3231354783173528,1.2738370937,0.06300645134844537,0.047619047619047616,-0.3231354783173528,1.1134493285171752
494,Papiss Demba Cissé,24,3,3.332423659362373,3.6073283896,0.13885098580676555,0.125,-0.33242365936237306,1.6940228301690974
495,Séamus Coleman,26,1,1.3350225076310525,1.7228314895,0.051347019524271245,0.038461538461538464,-0.33502250763105246,1.1253768617073923
496,Daniel Olmo Carvajal,53,5,5.337212158351276,4.2326412072,0.1007021161953071,0.09433962264150944,-0.33721215835127616,2.1908317140807463
497,Abdoulaye Doucouré,30,2,2.3375596483766454,2.648188765,0.07791865494588818,0.06666666666666667,-0.3375596483766454,1.4681349204754153
498,Marc Albrighton,42,2,2.344011850143439,2.36266696,0.05580980595579616,0.047619047619047616,-0.3440118501434388,1.487680410447367
